guid/image/axis,value
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/x,0.66691047
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/y,-0.13392882
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/z,6.4324503
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/x,-1.851861
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/y,-2.976852
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/z,36.597186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/z,6.4324503
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/x,0.66691047
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/y,-0.13392882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/z,6.4324503
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0000/x,-1.851861
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0000/y,-2.976852
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0000/z,36.597186
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0001/x,-1.851861
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0001/y,-2.976852
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0001/z,36.597186
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0002/x,-1.851861
